feat_0	feat_variance
feat_1	feat_edge_density
feat_2	feat_chroma_complexity
feat_3	feat_cb_sharpness
feat_4	feat_cr_sharpness
feat_5	feat_uniformity
feat_6	feat_flat_color_block_ratio
feat_7	feat_colourfulness
feat_8	feat_laplacian_variance
feat_9	feat_variance_spread
feat_10	feat_distinct_color_bins
feat_11	feat_palette_density
feat_12	feat_cb_horiz_sharpness
feat_13	feat_cb_vert_sharpness
feat_14	feat_cb_peak_sharpness
feat_15	feat_cr_horiz_sharpness
feat_16	feat_cr_vert_sharpness
feat_17	feat_cr_peak_sharpness
feat_18	feat_high_freq_energy_ratio
feat_19	feat_luma_histogram_entropy
feat_20	feat_dct_compressibility_y
feat_21	feat_dct_compressibility_uv
feat_22	feat_patch_fraction
feat_23	feat_alpha_present
feat_24	feat_alpha_used_fraction
feat_25	feat_alpha_bimodal_score
feat_26	feat_palette_fits_in_256
feat_27	feat_peak_luminance_nits
feat_28	feat_p99_luminance_nits
feat_29	feat_hdr_headroom_stops
feat_30	feat_hdr_pixel_fraction
feat_31	feat_wide_gamut_peak
feat_32	feat_wide_gamut_fraction
feat_33	feat_effective_bit_depth
feat_34	feat_hdr_present
feat_35	feat_grayscale_score
feat_36	feat_aq_map_mean
feat_37	feat_aq_map_std
feat_38	feat_noise_floor_y
feat_39	feat_noise_floor_uv
feat_40	feat_gamut_coverage_srgb
feat_41	feat_gamut_coverage_p3
feat_42	feat_gradient_fraction
feat_43	feat_skin_tone_fraction
feat_44	feat_edge_slope_stdev
feat_45	feat_patch_fraction_fast
feat_46	feat_quant_survival_y
feat_47	feat_quant_survival_uv
feat_48	feat_is_grayscale
feat_49	feat_pixel_count
feat_50	feat_log_pixels
feat_51	feat_min_dim
feat_52	feat_max_dim
feat_53	feat_bitmap_bytes
feat_54	feat_aspect_min_over_max
feat_55	feat_log_aspect_abs
feat_56	feat_block_misalignment_8
feat_57	feat_block_misalignment_32
feat_58	feat_channel_count
feat_59	feat_aq_map_p50
feat_60	feat_aq_map_p75
feat_61	feat_aq_map_p90
feat_62	feat_aq_map_p95
feat_63	feat_aq_map_p99
feat_64	feat_noise_floor_y_p25
feat_65	feat_noise_floor_y_p50
feat_66	feat_noise_floor_y_p75
feat_67	feat_noise_floor_y_p90
feat_68	feat_noise_floor_uv_p25
feat_69	feat_noise_floor_uv_p50
feat_70	feat_noise_floor_uv_p75
feat_71	feat_noise_floor_uv_p90
feat_72	feat_laplacian_variance_p50
feat_73	feat_laplacian_variance_p75
feat_74	feat_laplacian_variance_p90
feat_75	feat_laplacian_variance_p99
feat_76	feat_laplacian_variance_peak
feat_77	feat_quant_survival_y_p10
feat_78	feat_quant_survival_y_p25
feat_79	feat_quant_survival_y_p50
feat_80	feat_quant_survival_y_p75
feat_81	feat_quant_survival_uv_p10
feat_82	feat_quant_survival_uv_p25
feat_83	feat_quant_survival_uv_p50
feat_84	feat_quant_survival_uv_p75
feat_85	feat_log_padded_pixels_8
feat_86	feat_log_padded_pixels_16
feat_87	feat_log_padded_pixels_32
feat_88	feat_laplacian_variance_p1
feat_89	feat_laplacian_variance_p5
feat_90	feat_laplacian_variance_p10
feat_91	feat_aq_map_p1
feat_92	feat_aq_map_p5
feat_93	feat_aq_map_p10
feat_94	feat_noise_floor_y_p1
feat_95	feat_noise_floor_y_p5
feat_96	feat_noise_floor_y_p10
feat_97	feat_quant_survival_y_p1
feat_98	feat_quant_survival_y_p5
feat_99	feat_luma_kurtosis
feat_100	feat_gradient_fraction_smooth
feat_101	feat_palette_log2_size
feat_102	feat_chroma_luma_covariance_cb
feat_103	feat_chroma_luma_covariance_cr
feat_104	feat_info_weight_mean
feat_105	feat_info_weight_p90
feat_106	feat_orientation_energy_ratio
feat_107	feat_spectral_slope_y
